序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,001259,利仁科技,9.995159149169922,45.45,21211515,2160897479.55,3344614959.6000004,0.9816067218780518,100239975,092500,092500,0,2/2,2,小家电
2,002918,蒙娜丽莎,9.976433753967285,14.0,55878690,2998682120.0,5723291392.0,1.8634415864944458,106899310,092500,092500,0,3/3,3,家居用品
3,300449,汉邦高科,19.97907829284668,11.47,106802332,4427832793.83,4427832736.4800005,2.4120678901672363,359554104,092500,092500,0,2/2,2,计算机设
4,300959,线上线下,19.997846603393555,111.49,289583120,5834072913.33,8960206022.0,4.963652610778809,318505635,092500,092500,0,1/1,1,通信服务
5,603007,花王股份,10.071942329406738,7.65,1079304384,5317431071.85,6767542634.400001,20.85206413269043,141581372,092501,100628,2,1/1,1,汽车零部
6,603052,可川科技,10.002307891845703,95.35,162234783,17916005838.7,17916005838.7,0.9055298566818237,405526791,092501,092501,0,1/1,1,消费电子
7,600530,交大昂立,10.076335906982422,7.21,436306624,5587173200.0,5587173200.0,7.872348308563232,28589813,092502,132135,10,3/3,3,食品加工
8,600076,康欣新材,10.1010103225708,4.36,264203771,5862209080.120001,5862209049.6,4.51694393157959,95895723,093101,093101,0,3/3,3,包装印刷
9,603037,凯众股份,10.0,15.62,198886883,4157187086.7999997,4169310706.0,4.8084940910339355,103455946,093105,093105,0,1/1,1,汽车零部
10,603682,锦和商管,10.011507987976074,9.56,254228029,4517100000.0,4517100000.0,5.695894241333008,89021764,093111,132656,2,1/1,1,一般零售
11,603269,海鸥股份,10.021552085876465,20.42,289807664,6304711102.56,6304711265.92,4.6608734130859375,83715567,093144,093144,0,5/3,2,通用设备
12,000925,众合科技,10.0204496383667,10.76,1089880592,7244108754.08,7277739650.559999,15.267096519470215,300619432,093154,095206,1,1/1,1,轨交设备
13,001211,双枪科技,10.004108428955078,53.55,313905120,3587662575.0,3855600000.0,8.869668006896973,21211155,093309,131427,8,2/2,2,家居用品
