date,source,name,code,price,score,sentiment_level,position,result_pct,pnl,win
2026-06-05,热门精选,夏厦精密,1306,63.9,71.0,5,0.0,-3.0,-0.0,0.0
2026-06-05,超短线,福莱蒽特,605566,43.01,69.0,5,0.0,-3.0,-0.0,0.0
2026-06-05,超短线,泛微网络,603039,39.94,70.0,5,31532.0,-3.0,-945.96,0.0
2026-06-05,超短线,法狮龙,605318,98.28,71.0,5,31982.0,-2.85,-911.49,0.0
2026-06-05,超短线,彩虹股份,600707,11.71,81.0,5,36486.0,-2.9,-1058.09,0.0
2026-06-05,超短线,兆威机电,3021,105.07,69.0,5,0.0,-3.0,-0.0,0.0
2026-06-05,热门精选,嘉益股份,301004,38.04,72.0,5,0.0,-1.97,-0.0,0.0
2026-06-05,热门精选,慕思股份,1323,22.12,74.0,5,31897.0,-3.0,-956.91,0.0
2026-06-05,热门精选,海晨股份,300873,22.36,76.0,5,32759.0,-3.0,-982.77,0.0
2026-06-05,热门精选,秀强股份,300160,5.03,82.0,5,35345.0,-2.98,-1053.28,0.0
2026-06-05,热门精选,中坚科技,2779,72.57,71.0,5,0.0,-1.75,-0.0,0.0
2026-06-08,热门精选,经纬辉开,300120,8.59,75.0,3,21111.0,3.0,633.33,1.0
2026-06-08,超短线,秦川机床,837,12.61,77.0,3,0.0,2.38,0.0,1.0
2026-06-08,超短线,中重科技,603135,14.63,77.0,3,0.0,3.0,0.0,1.0
2026-06-08,超短线,中国神华,601088,50.74,77.0,3,21399.0,-2.44,-522.14,0.0
2026-06-08,超短线,万憬能源,2700,8.51,77.0,3,21399.0,2.47,528.56,1.0
2026-06-08,超短线,中大力德,2896,90.0,83.0,3,23066.0,0.0,0.0,0.0
2026-06-08,热门精选,弘信电子,300657,46.09,70.0,3,0.0,-2.08,-0.0,0.0
2026-06-08,热门精选,大有能源,600403,8.76,71.0,3,0.0,-3.0,-0.0,0.0
2026-06-08,热门精选,中天科技,600522,49.47,74.0,3,20828.0,2.14,445.72,1.0
2026-06-08,热门精选,冠龙节能,301151,19.8,85.0,3,23925.0,-0.61,-145.94,0.0
2026-06-08,热门精选,德恩精工,300780,27.07,51.0,3,0.0,1.15,0.0,1.0
2026-06-08,超短线,XD岱美股,603730,12.9,74.0,3,0.0,0.78,0.0,1.0
2026-06-08,热门精选,恒光股份,301118,29.86,50.0,3,0.0,2.48,0.0,1.0
2026-06-08,热门精选,长城科技,603897,44.66,51.0,3,21396.0,-3.0,-641.88,0.0
