序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
1,电网设备,1.24,4036162304.0,4.51,4150536448.0,4.64,-114374144.0,-0.13,-1161281024.0,-1.3,-2785471744.0,-3.11,汉缆股份,2026-05-12 14:34:25
2,线缆部件及其他,2.38,2581538544.0,10.26,2945634544.0,11.7,-364096000.0,-1.45,-1143529472.0,-4.54,-1421178368.0,-5.65,汉缆股份,2026-05-12 14:34:25
3,输变电设备,1.41,1931096064.0,5.24,1451558400.0,3.94,479537664.0,1.3,-447431424.0,-1.22,-1432924928.0,-3.89,特变电工,2026-05-12 14:34:25
4,铜,0.67,1612786688.0,3.8,978704640.0,2.31,634082048.0,1.49,-273961472.0,-0.65,-1338842112.0,-3.16,紫金矿业,2026-05-12 14:34:25
5,电力,1.13,1184771328.0,1.42,912472064.0,1.1,272299264.0,0.33,235497216.0,0.28,-1419952896.0,-1.71,太阳能,2026-05-12 14:34:25
6,硅料硅片,0.64,696882848.0,13.96,641083456.0,12.84,55799392.0,1.12,-196019200.0,-3.93,-500820528.0,-10.03,TCL中环,2026-05-12 14:34:25
7,医疗研发外包,-0.94,537455872.0,3.21,-57305088.0,-0.34,594760960.0,3.55,-168510464.0,-1.01,-368944560.0,-2.2,药明康德,2026-05-12 14:34:25
8,模拟芯片设计,-0.04,530174208.0,1.92,140224000.0,0.51,389950208.0,1.41,65988352.0,0.24,-595919360.0,-2.15,卓胜微,2026-05-12 14:34:25
9,白银,1.21,528101536.0,4.93,137404016.0,1.28,390697520.0,3.65,232273424.0,2.17,-760374976.0,-7.1,兴业银锡,2026-05-12 14:34:25
10,光伏发电,1.05,472906592.0,3.78,417322320.0,3.33,55584272.0,0.44,-162723904.0,-1.3,-310027520.0,-2.48,太阳能,2026-05-12 14:34:25
11,公用事业,0.49,423113472.0,0.47,477452800.0,0.53,-54339328.0,-0.06,375263232.0,0.41,-804478976.0,-0.89,太阳能,2026-05-12 14:34:25
12,工程咨询服务Ⅲ,-1.05,410336880.0,5.1,445713040.0,5.54,-35376160.0,-0.44,-5091216.0,-0.06,-429857024.0,-5.34,太极实业,2026-05-12 14:34:25
13,工程咨询服务Ⅱ,-1.05,410190864.0,5.1,445567024.0,5.53,-35376160.0,-0.44,-5010928.0,-0.06,-429784080.0,-5.34,太极实业,2026-05-12 14:34:25
14,热力服务,1.01,363647392.0,4.23,196146704.0,2.28,167500688.0,1.95,66664944.0,0.77,-430314800.0,-5.0,协鑫能科,2026-05-12 14:34:25
15,铁路运输,1.19,334404016.0,7.47,239213136.0,5.34,95190880.0,2.13,-164965472.0,-3.68,-169443312.0,-3.78,京沪高铁,2026-05-12 14:34:25
16,证券Ⅱ,0.16,333643008.0,0.8,892206592.0,2.14,-558563584.0,-1.34,-354944000.0,-0.85,21230336.0,0.05,长城证券,2026-05-12 14:34:25
17,证券Ⅲ,0.16,333643008.0,0.8,892206592.0,2.14,-558563584.0,-1.34,-354944000.0,-0.85,21230336.0,0.05,长城证券,2026-05-12 14:34:25
