序号,sector,行业指数,pct_change,inflow,outflow,main_net_inflow,stock_count,top_stock,top_stock_pct,当前价,main_net_inflow_pct,fetch_time
1,电力,2292.0,2.24,22303000000.0,18183000000.0,4120000000.0000005,109,上海电力,10.02,18.45,,2026-05-19 11:12:10
2,IT服务,14709.8,1.34,16736000000.000002,15479000000.0,1257000000.0,130,彩讯股份,16.63,28.33,,2026-05-19 11:12:10
3,文化传媒,3009.12,1.22,11437000000.0,9127000000.0,2310000000.0,85,风语筑,10.05,11.17,,2026-05-19 11:12:10
4,影视院线,1541.99,1.21,2170000000.0,1762000000.0,408000000.0,20,幸福蓝海,9.88,17.24,,2026-05-19 11:12:10
5,厨卫电器,6687.37,1.03,171000000.0,125000000.0,46000000.0,9,*ST帅电,4.79,18.37,,2026-05-19 11:12:10
6,互联网电商,9865.19,0.91,1324000000.0,1288000000.0,35000000.0,19,星徽股份,8.38,9.44,,2026-05-19 11:12:10
7,小家电,4826.29,0.85,841000000.0,948000000.0,-107000000.0,25,倍益康,11.34,35.85,,2026-05-19 11:12:10
8,软件开发,2200.44,0.79,9165000000.0,9501000000.0,-336000000.0,139,思特奇,20.03,18.46,,2026-05-19 11:12:10
9,游戏,10277.7,0.78,3022000000.0,2853000000.0,169000000.0,24,宝通科技,6.44,26.29,,2026-05-19 11:12:10
10,公路铁路运输,1371.9,0.74,1027999999.9999999,597000000.0,430000000.0,32,山东高速,2.48,11.55,,2026-05-19 11:12:10
11,银行,1295.19,0.68,5655000000.0,3806000000.0,1848999999.9999998,84,西安银行,1.97,3.63,,2026-05-19 11:12:10
12,电网设备,7955.64,0.63,12568000000.0,12508000000.0,60000000.0,139,新特电气,12.77,23.4,,2026-05-19 11:12:10
13,机场航运,1912.51,0.6,708000000.0,581000000.0,127000000.0,13,春秋航空,2.19,45.23,,2026-05-19 11:12:10
14,港口航运,1251.86,0.58,2129000000.0,2032000000.0,97000000.0,36,招商南油,6.33,5.04,,2026-05-19 11:12:10
15,元件,22875.8,0.36,25807000000.0,27579000000.000004,-1773000000.0,62,逸豪新材,20.0,44.52,,2026-05-19 11:12:10
16,白酒,2179.17,0.26,3211000000.0,2703000000.0,509000000.0,20,迎驾贡酒,3.03,36.35,,2026-05-19 11:12:10
17,白色家电,8958.58,0.21,4488000000.0,5385000000.0,-897000000.0000001,45,合肥高科,19.84,16.43,,2026-05-19 11:12:10
18,通信服务,3459.9,0.13,12330000000.0,10875000000.0,1455000000.0,45,嘉环科技,9.99,21.03,,2026-05-19 11:12:10
19,医疗器械,11903.2,0.08,3650000000.0,3693000000.0,-43000000.0,139,英诺特,6.91,64.84,,2026-05-19 11:12:10
20,光学光电子,5954.01,0.05,13459000000.0,13313999999.999998,145000000.0,107,天山电子,13.16,35.51,,2026-05-19 11:12:10
21,教育,4446.27,0.04,362000000.0,399000000.0,-37000000.0,16,ST豆神,5.46,2.9,,2026-05-19 11:12:10
22,通用设备,10460.9,0.03,19904000000.0,20478000000.0,-574000000.0,250,埃科光电,15.11,158.0,,2026-05-19 11:12:10
23,煤炭开采加工,2930.92,0.02,2485000000.0,2639000000.0,-154000000.0,34,辽宁能源,10.0,5.17,,2026-05-19 11:12:10
24,造纸,2302.58,0.01,440000000.00000006,779000000.0,-340000000.0,24,景兴纸业,10.0,5.28,,2026-05-19 11:12:10
25,零售,1965.01,0.0,2924000000.0,2669000000.0,254999999.99999997,72,合百集团,10.04,8.66,,2026-05-19 11:12:10
26,家居用品,4580.62,-0.02,2279000000.0,2134000000.0,146000000.0,98,尚品宅配,14.55,17.64,,2026-05-19 11:12:10
27,光伏设备,9712.35,-0.07,12829000000.0,13432000000.0,-603000000.0,73,双良节能,10.08,7.21,,2026-05-19 11:12:10
28,计算机设备,4622.32,-0.07,9527000000.0,11306000000.0,-1779000000.0,83,同有科技,9.78,58.7,,2026-05-19 11:12:10
29,汽车服务及其他,1143.58,-0.08,453000000.0,494000000.00000006,-41000000.0,25,ST中路,5.07,6.43,,2026-05-19 11:12:10
30,房地产,1898.06,-0.08,4491000000.0,5511000000.0,-1019999999.9999999,87,合肥城建,8.93,24.88,,2026-05-19 11:12:10
31,汽车零部件,7114.64,-0.09,14824000000.0,15937000000.0,-1113000000.0,269,捷众科技,11.08,29.07,,2026-05-19 11:12:10
32,食品加工制造,5067.68,-0.11,2862000000.0,2544000000.0,318000000.0,66,莲花控股,8.37,11.39,,2026-05-19 11:12:10
33,轨交设备,1146.77,-0.12,834000000.0,831000000.0,3000000.0,30,雷尔伟,10.82,21.0,,2026-05-19 11:12:10
34,电机,4145.1,-0.14,2620000000.0,2757000000.0,-138000000.0,26,方正电机,4.89,16.95,,2026-05-19 11:12:10
35,中药,3189.37,-0.15,1307000000.0,1374000000.0,-67000000.00000001,68,众生药业,4.63,23.51,,2026-05-19 11:12:10
36,燃气,2068.8,-0.16,883000000.0,1242000000.0,-359000000.0,27,贵州燃气,9.99,9.69,,2026-05-19 11:12:10
37,生物制品,6234.9,-0.2,1495000000.0,1585000000.0,-90000000.0,54,金迪克,6.29,20.6,,2026-05-19 11:12:10
38,旅游及酒店,2945.25,-0.21,476999999.99999994,534999999.99999994,-57999999.99999999,35,*ST西旅,2.07,7.9,,2026-05-19 11:12:10
39,服装家纺,3216.29,-0.25,1339000000.0,1294000000.0,45000000.0,75,天创时尚,10.03,16.89,,2026-05-19 11:12:10
40,半导体,17421.7,-0.26,95124000000.0,96732000000.0,-1609000000.0,179,诚邦股份,10.02,22.52,,2026-05-19 11:12:10
41,建筑装饰,4710.98,-0.27,5909000000.0,6447000000.0,-538000000.0,146,东南网架,10.01,8.9,,2026-05-19 11:12:10
42,证券,1429.59,-0.27,4560000000.0,6058000000.0,-1498000000.0,50,东兴证券,4.22,13.34,,2026-05-19 11:12:10
43,物流,5577.38,-0.32,710000000.0,855000000.0000001,-145000000.0,50,海晨股份,3.92,21.21,,2026-05-19 11:12:10
44,黑色家电,4776.25,-0.32,552000000.0,701000000.0,-149000000.0,9,九联科技,5.58,13.06,,2026-05-19 11:12:10
