date,main_net_inflow,main_net_inflow_pct,super_large_net,super_large_pct,large_net,large_pct,medium_net,medium_pct,small_net,small_pct,sector
2025-11-07,-547515887.0,-3.05,-210303893.0,-1.17,-337211994.0,-1.88,-89570482.0,-0.5,637086344.0,3.55,铜
2025-11-10,54524316.0,0.27,312952844.0,1.55,-258428528.0,-1.28,28702095.0,0.14,-83226427.0,-0.41,铜
2025-11-11,-909033468.0,-4.81,-644137922.0,-3.41,-264895546.0,-1.4,90424348.0,0.48,818609139.0,4.33,铜
2025-11-12,-471045346.0,-2.71,-249201200.0,-1.43,-221844146.0,-1.28,21992635.0,0.13,449052712.0,2.58,铜
2025-11-13,2635314427.0,8.49,2363511515.0,7.61,271802912.0,0.88,-919110756.0,-2.96,-1716203733.0,-5.53,铜
2025-11-14,-1040135923.0,-4.8,-1016925960.0,-4.69,-23209963.0,-0.11,238968017.0,1.1,801167901.0,3.69,铜
2025-11-17,-2068057845.0,-9.38,-1366719296.0,-6.2,-701338549.0,-3.18,-56580338.0,-0.26,2124638190.0,9.64,铜
2025-11-18,-2683732810.0,-13.88,-1704946792.0,-8.82,-978786018.0,-5.06,345147615.0,1.79,2338585244.0,12.1,铜
2025-11-19,-307507865.0,-1.78,-37384263.0,-0.22,-270123602.0,-1.56,127478893.0,0.74,180028991.0,1.04,铜
2025-11-20,-1089174092.0,-7.78,-797128971.0,-5.69,-292045121.0,-2.09,274662737.0,1.96,814511364.0,5.82,铜
2025-11-21,-2069551910.0,-10.65,-1473405360.0,-7.58,-596146550.0,-3.07,517454431.0,2.66,1552097459.0,7.98,铜
2025-11-24,-303388874.0,-2.04,-43376811.0,-0.29,-260012063.0,-1.75,136475245.0,0.92,166913620.0,1.12,铜
2025-11-25,601718439.0,3.82,732633123.0,4.65,-130914684.0,-0.83,-319451779.0,-2.03,-282266631.0,-1.79,铜
2025-11-26,-479191845.0,-3.19,-733355740.0,-4.88,254163895.0,1.69,219325322.0,1.46,259866516.0,1.73,铜
2025-11-27,-161208291.0,-1.06,-58892346.0,-0.39,-102315945.0,-0.67,90142796.0,0.59,71065515.0,0.47,铜
2025-11-28,560871415.0,3.53,491375673.0,3.09,69495742.0,0.44,-767572553.0,-4.83,206701095.0,1.3,铜
